Track Name,Artist,Value,TopPos,TopMonth,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Body Like A Back Road,Sam Hunt,4616,55,7,2017,0.731,0.469,5,-7.226,1,0.0326,0.463,1.04e-06,0.103,0.631,98.963,165387,4
Hello,Adele,20,81,2,2017,0.481,0.451,5,-6.095,0,0.0347,0.336,0,0.0872,0.289,157.966,295493,4
Halo,Beyoncé,33,68,2,2017,0.422,0.712,11,-5.907,0,0.1,0.273,0,0.051,0.471,78.454,261160,4
Stay With Me,Sam Smith,32,69,2,2017,0.479,0.419,0,-6.517,1,0.0389,0.568,0.000217,0.11,0.186,85.014,172724,4
All of Me,John Legend,22,79,2,2017,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,269560,4
Make You Feel My Love,Adele,20,81,2,2017,0.325,0.18,10,-10.647,1,0.0311,0.91,0.000633,0.113,0.0997,72.416,212040,1
Take Me To Church,Hozier,10,91,2,2017,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,241688,4
Oceans Away,A R I Z O N A,19,100,3,2017,0.617,0.642,8,-8.624,1,0.0334,0.13,0.157,0.0929,0.221,105.885,194013,4
Sooner Or Later,Aaron Carter,12,100,2,2017,0.737,0.729,5,-6.817,0,0.0354,0.127,2.16e-05,0.077,0.436,111.937,212564,4
It Ain't Me (with Selena Gomez),Kygo,15816,10,5,2017,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781,4
Cold,Maroon 5,6987,100,6,2017,0.703,0.715,9,-6.285,0,0.114,0.139,0,0.0456,0.497,99.924,234308,4
How Would You Feel (Paean),Ed Sheeran,2151,100,4,2017,0.617,0.439,9,-5.63,1,0.0269,0.424,0,0.127,0.242,139.979,280533,4
Rent Money,Future,93,53,2,2017,0.694,0.493,1,-8.581,1,0.373,0.0331,2.04e-06,0.431,0.313,166.457,265366,4
Heavy (feat. Kiiara),Linkin Park,469,100,7,2017,0.59,0.671,9,-6.098,1,0.0706,0.0484,0,0.0604,0.438,149.982,169801,4
Draco,Future,66,55,2,2017,0.804,0.456,8,-7.44,1,0.0468,0.000668,0,0.31,0.165,130.014,225135,4
Mask Off,Future,14841,10,3,2017,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4
Swang,Rae Sremmurd,1302,100,4,2017,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,208120,4
Good Dope,Future,6,95,2,2017,0.863,0.409,1,-8.55,0,0.321,0.0887,0.0281,0.359,0.2,130.011,172225,4
Zoom,Future,2,99,2,2017,0.852,0.438,9,-7.673,1,0.426,0.0145,0,0.263,0.627,150.945,278429,4
Love,Lana Del Rey,531,100,3,2017,0.322,0.352,10,-10.986,1,0.0309,0.455,0.00333,0.11,0.266,70.429,278360,3
Tunnel Vision,Kodak Black,4477,100,6,2017,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,268187,4
Something Just Like This,The Chainsmokers,21832,10,5,2017,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,4
Slide (feat. Frank Ocean & Migos),Calvin Harris,13244,100,9,2017,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,230813,4
Stay (with Alessia Cara),Zedd,15219,10,3,2017,0.679,0.634,5,-5.024,0,0.0654,0.232,0,0.115,0.498,102.013,210091,4
Selfish (feat. Rihanna),Future,3539,100,6,2017,0.415,0.369,8,-10.044,1,0.0741,0.0303,7.64e-06,0.383,0.0913,95.746,251423,4
Comin Out Strong (feat. The Weeknd),Future,242,100,3,2017,0.628,0.481,1,-7.775,1,0.475,0.29,0,0.118,0.33,108.761,254370,5
